Czas [ms];Moc[kW];
40;0.0;
240;0.0;
440;0.0;
641;0.0;
841;0.0;
1041;0.0;
1242;0.0;
1442;0.0;
1642;-0.1;
1842;0.0;
2043;0.0;
2243;0.0;
2443;0.0;
2643;0.0;
2844;0.0;
3044;0.0;
3244;0.0;
3445;0.0;
3645;0.0;
3845;0.0;
4045;0.0;
4246;0.0;
4446;0.0;
4646;0.0;
4847;0.0;
5047;0.0;
5248;0.0;
5447;0.0;
5648;0.0;
5848;0.0;
6048;0.0;
6249;0.0;
6449;0.0;
6649;0.0;
6849;0.0;
7050;0.0;
7250;0.0;
7450;0.0;
7651;0.0;
7851;0.0;
8051;0.0;
8252;0.0;
8452;0.0;
8652;0.0;
8852;0.0;
9053;-0.1;
9253;-0.1;
9453;-0.1;
9653;-0.1;
9854;-0.1;
10054;-0.1;
10255;-0.1;
10455;-0.1;
10655;-0.1;
10855;-0.1;
11055;-0.1;
11256;-0.1;
11456;-0.1;
11656;-0.1;
11857;-0.1;
12057;-0.1;
12257;-0.1;
12458;-0.1;
12658;-0.1;
12858;-0.1;
13058;-0.1;
13259;-0.1;
13459;-0.1;
13659;-0.1;
13859;-0.1;
14060;-0.1;
14260;-0.1;
14460;-0.1;
14661;-0.1;
14861;-0.1;
15061;-0.1;
15262;-0.1;
15462;-0.1;
15662;-0.1;
15862;-0.1;
16063;-0.1;
16263;-0.1;
16463;-0.1;
16664;-0.1;
16864;-0.1;
17064;-0.1;
17265;-0.1;
17465;-0.1;
17665;-0.1;
17865;-0.1;
18065;-0.1;
18266;-0.1;
18466;-0.1;
18666;-0.1;
18867;-0.1;
19067;-0.1;
19267;-0.1;
19467;-0.1;
19668;-0.1;
19868;-0.1;
20068;-0.1;
20269;-0.1;
20469;-0.1;
20669;-0.1;
20870;-0.1;
21070;-0.1;
21271;-0.1;
21470;-0.1;
21671;-0.1;
21871;-0.1;
22071;-0.1;
22272;-0.1;
22472;-0.1;
22672;-0.1;
22872;-0.1;
23073;-0.1;
23273;-0.1;
23473;-0.1;
23674;-0.1;
23874;-0.1;
24074;-0.1;
24275;-0.1;
24475;-0.1;
24675;-0.1;
24875;-0.1;
25076;-0.1;
25276;-0.1;
25476;-0.1;
25676;-0.1;
25877;-0.1;
26077;-0.1;
26277;-0.1;
26478;-0.1;
26678;-0.1;
26878;-0.1;
27078;-0.1;
27279;-0.1;
27479;-0.1;
27679;-0.1;
27880;-0.1;
28080;-0.1;
28280;-0.1;
28480;-0.1;
28681;-0.1;
28881;-0.1;
29081;-0.1;
29282;-0.1;
29482;-0.1;
29682;-0.1;
29882;-0.1;
30083;-0.1;
30283;-0.1;
30483;-0.1;
30684;-0.1;
30884;-0.1;
31084;-0.1;
31285;-0.1;
31485;-0.1;
31685;-0.1;
31885;-0.1;
32086;-0.1;
32286;-0.1;
32486;-0.1;
32686;-0.1;
32887;-0.1;
33087;-0.1;
33288;-0.1;
33488;-0.1;
33688;-0.1;
33888;-0.1;
34088;-0.1;
34289;-0.1;
34489;-0.1;
34689;-0.1;
34890;-0.1;
35090;-0.1;
35290;-0.1;
35490;-0.1;
35691;-0.1;
35891;-0.1;
36091;-0.1;
36292;-0.1;
36492;-0.1;
36692;-0.1;
36892;-0.1;
37093;-0.1;
37293;-0.1;
37493;-0.1;
37694;-0.1;
37894;-0.1;
38094;-0.1;
38295;-0.1;
38495;-0.1;
38695;-0.1;
38895;-0.1;
39096;-0.1;
39296;-0.1;
39496;-0.1;
39696;-0.1;
39897;-0.1;
40097;-0.1;
40297;-0.1;
40498;-0.1;
40698;-0.1;
40898;-0.1;
41098;-0.1;
41299;-0.1;
41499;-0.1;
41699;-0.1;
41900;-0.1;
42100;-0.1;
42300;-0.1;
42501;-0.1;
42701;-0.1;
42901;-0.1;
43101;-0.1;
43302;-0.1;
43502;-0.1;
43702;-0.1;
43902;-0.1;
44103;-0.1;
44303;-0.1;
44503;-0.1;
44704;-0.1;
44904;-0.1;
45104;-0.1;
45305;-0.1;
45505;-0.1;
45705;-0.1;
45905;-0.1;
46106;-0.1;
46306;-0.1;
46506;-0.1;
46707;-0.1;
46907;-0.1;
47107;-0.1;
47308;-0.1;
47508;-0.1;
47708;-0.1;
47908;-0.1;
48108;-0.1;
48309;-0.1;
48509;-0.1;
48709;-0.1;
48910;-0.1;
49110;-0.1;
49311;-0.1;
49510;-0.1;
49711;-0.1;
49911;-0.1;
50111;-0.1;
50312;-0.1;
50512;-0.1;
50712;-0.1;
50913;-0.1;
51113;-0.1;
51313;-0.1;
51513;-0.1;
51714;-0.1;
51914;-0.1;
52114;-0.1;
52315;-0.1;
52515;-0.1;
52715;-0.1;
52915;-0.1;
53116;-0.1;
53316;-0.1;
53516;-0.1;
53717;-0.1;
53917;-0.1;
54117;-0.1;
54318;-0.1;
54518;-0.1;
54718;-0.1;
54918;-0.1;
55119;-0.1;
55319;-0.1;
55519;-0.1;
55719;-0.1;
55920;-0.1;
56120;-0.1;
56320;-0.1;
56521;-0.1;
56721;-0.1;
56921;-0.1;
57121;-0.1;
57322;-0.1;
57522;-0.1;
57722;-0.1;
57923;-0.1;
58123;0.0;
58323;0.0;
58523;0.0;
58724;0.0;
58924;0.0;
59124;-0.1;
59325;-0.1;
59525;-0.1;
59725;-0.1;
59925;-0.1;
60126;-0.1;
60326;-0.1;
60526;-0.1;
60727;-0.1;
60927;-0.1;
61127;-0.1;
61328;-0.1;
61528;-0.1;
61728;-0.1;
61928;0.0;
62129;-0.1;
62329;-0.1;
62529;0.0;
62729;0.0;
62930;0.0;
63130;0.0;
63330;0.0;
63531;0.0;
63731;-0.1;
63931;-0.1;
64131;-0.1;
64332;-0.1;
64532;-0.1;
64732;-0.1;
64933;-0.1;
65133;-0.1;
65334;-0.1;
65533;-0.1;
65734;-0.1;
65934;-0.1;
66134;-0.1;
66335;-0.1;
66535;-0.1;
66735;-0.1;
66935;-0.1;
67136;-0.1;
67336;-0.1;
67536;0.0;
67737;0.0;
67937;0.0;
68137;0.0;
68338;0.0;
68538;0.0;
68738;-0.1;
68938;-0.1;
69139;-0.1;
69339;-0.1;
69539;-0.1;
69739;-0.1;
69940;-0.1;
70140;-0.1;
70340;-0.1;
70541;-0.1;
70741;-0.1;
70941;-0.1;
71141;-0.1;
71342;-0.1;
71542;-0.1;
71742;-0.1;
71943;0.0;
72143;0.0;
72343;0.0;
72544;0.0;
72744;-0.1;
72944;0.0;
73144;0.0;
73345;0.0;
73545;0.0;
73745;0.0;
73945;-0.1;
74146;-0.1;
74346;-0.1;
74546;-0.1;
74747;-0.1;
74947;-0.1;
75147;-0.1;
75348;-0.1;
75548;-0.1;
75748;-0.1;
75948;-0.1;
76149;-0.1;
76349;-0.1;
76549;-0.1;
76750;-0.1;
76950;-0.1;
77150;0.0;
77351;0.0;
77551;0.0;
77751;0.0;
77951;0.0;
78151;0.0;
78352;0.0;
78552;0.0;
78752;-0.1;
78953;-0.1;
79153;-0.1;
79353;-0.1;
79554;-0.1;
79754;-0.1;
79954;-0.1;
80154;-0.1;
80355;-0.1;
80555;-0.1;
80755;-0.1;
80956;-0.1;
81156;-0.1;
81356;-0.1;
81556;-0.1;
81757;-0.1;
81957;-0.1;
82157;0.0;
82358;-0.1;
82558;0.0;
82758;0.0;
82958;-0.1;
83159;-0.1;
83359;-0.1;
83559;-0.1;
83760;0.0;
83960;0.0;
84160;0.0;
84361;0.0;
84561;0.0;
84761;0.1;
84961;0.1;
85162;0.2;
85362;0.3;
85562;0.4;
85762;0.5;
85963;0.7;
86163;0.8;
86364;1.0;
86564;1.2;
86764;1.3;
86964;1.5;
87164;1.7;
87365;1.9;
87565;2.1;
87765;2.2;
87966;2.4;
88166;2.6;
88366;2.8;
88566;3.0;
88767;3.1;
88967;3.3;
89167;3.4;
89368;3.5;
89568;3.6;
89768;3.7;
89968;3.8;
90169;3.9;
90369;4.0;
90569;4.0;
90770;4.1;
90970;4.1;
91170;4.2;
91371;4.2;
91571;4.2;
91771;4.3;
91971;4.3;
92172;4.3;
92372;4.3;
92572;4.4;
92772;4.4;
92973;4.4;
93173;4.4;
93374;4.4;
93574;4.4;
93774;4.4;
93974;4.4;
94174;4.4;
94375;4.4;
94575;4.4;
94775;4.4;
94976;4.4;
95176;4.3;
95376;4.3;
95576;4.3;
95777;4.3;
95977;4.3;
96177;4.3;
96378;4.3;
96578;4.3;
96778;4.3;
96978;4.3;
97179;4.3;
97379;4.3;
97579;4.3;
97780;4.3;
97980;4.3;
98180;4.3;
98381;4.3;
98581;4.3;
98781;4.3;
98981;4.3;
99182;4.3;
99382;4.3;
99582;4.3;
99782;4.3;
99983;4.2;
100183;4.2;
100383;4.2;
100584;4.2;
100784;4.2;
100984;4.2;
101184;4.2;
101385;4.2;
101585;4.2;
101785;4.2;
101986;4.2;
102186;4.2;
102386;4.2;
102587;4.2;
102787;4.2;
102987;4.2;
103187;4.2;
103388;4.2;
103588;4.2;
103788;4.2;
103988;4.2;
104189;4.2;
104389;4.2;
104589;4.2;
104790;4.2;
104990;4.2;
105190;4.2;
105391;4.2;
105591;4.2;
105791;4.2;
105991;4.2;
106192;4.2;
106392;4.2;
106592;4.2;
